id,titel,beschreibung,zielgruppe,kuche,ernahrung,schwierigkeitsgrad,portionen,vorbereitungszeit_min,kochzeit_min,gesamtzeit_min,kalorien_kcal,protein_g,kohlenhydrate_g,fett_g,allergene,tags,bewertung,autor,zutaten_json,schritte_json,sprache,erstellt_am,seo_slug
53,Meal‑Prep Indisch (keto) für 3 Tage,"Schnelles Indisch-Rezept, abgestimmt auf Familien.",Familien,Indisch,keto,leicht,2,16,26,42,734,35,16,59,"laktose, sesam","familienfreundlich, low_carb, nudeln, ofen, pikant, schnell",4.1,Team Küche,"[""2 x Rinderhack"", ""2 x Olivenöl"", ""3 x Rapsöl"", ""2 x Sojasauce"", ""3 x Kidneybohnen"", ""2 x Koriander"", ""1 x Basilikum"", ""1 x Tomate"", ""3 x Tofu""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,53-meal‑prep-indisch-(keto)-für-3-tage
54,Cremiges Mexikanisch-Curry (glutenfrei),"Schnelles Mexikanisch-Rezept, abgestimmt auf Senioren.",Senioren,Mexikanisch,glutenfrei,mittel,1,8,24,32,449,19,72,17,"sesam, weichtiere","ofen, proteinreich, salat",4.2,Team Küche,"[""1 x Zwiebel"", ""3 x Kichererbsen"", ""3 x Sojasauce"", ""1 x Quinoa"", ""3 x Brühe"", ""3 x Tomatenmark"", ""3 x Aubergine"", ""1 x Currypaste""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,54-cremiges-mexikanisch-curry-(glutenfrei)
55,Asiatische Bowl für Familien (keto),"Schnelles Asiatisch-Rezept, abgestimmt auf Familien.",Familien,Asiatisch,keto,anspruchsvoll,4,17,30,47,693,43,23,45,"erdnüsse, laktose","familienfreundlich, low_carb, nudeln, reis, schnell, suppe",3.8,Community,"[""2 x Rinderhack"", ""3 x Kichererbsen"", ""3 x Gurke"", ""1 x Kokosmilch"", ""1 x Zucchini"", ""3 x Lachsfilet"", ""3 x Joghurt"", ""2 x Olivenöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,55-asiatische-bowl-für-familien-(keto)
56,Schnelle Indisch-Pfanne (glutenfrei),"Schnelles Indisch-Rezept, abgestimmt auf Budget.",Budget,Indisch,glutenfrei,leicht,2,17,26,43,405,16,41,15,,"eintopf, familienfreundlich, mild, pikant",4.0,Chefkoch Max,"[""3 x Zwiebel"", ""2 x Kartoffeln"", ""3 x Quinoa"", ""1 x Kidneybohnen"", ""3 x Joghurt"", ""2 x Rinderhack"", ""2 x Knoblauchzehe"", ""3 x Haferflocken"", ""1 x Reis""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,56-schnelle-indisch-pfanne-(glutenfrei)
57,Cremiges Amerikanisch-Curry (vegetarisch),"Schnelles Amerikanisch-Rezept, abgestimmt auf Sportler.",Sportler,Amerikanisch,vegetarisch,leicht,4,19,28,47,800,35,73,21,"sesam, weichtiere","high_protein, pfanne, reis, saisonal, suppe",4.5,Chefkoch Max,"[""2 x Paprika"", ""1 x Koriander"", ""3 x Mais"", ""2 x Pasta"", ""1 x Reis"", ""2 x Tomate"", ""1 x Gurke"", ""3 x Joghurt""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,57-cremiges-amerikanisch-curry-(vegetarisch)
58,Meal‑Prep Deutsch (keto) für 3 Tage,"Schnelles Deutsch-Rezept, abgestimmt auf Budget.",Budget,Deutsch,keto,mittel,4,19,26,45,766,20,17,63,"gluten, laktose","familienfreundlich, low_carb, pfanne, salat, unter_30_min",4.6,Chefkoch Lina,"[""2 x Tomate"", ""2 x Petersilie"", ""2 x Karotte"", ""2 x Tofu"", ""2 x Spinat"", ""1 x Gurke"", ""3 x Olivenöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,58-meal‑prep-deutsch-(keto)-für-3-tage
59,Schnelle Indisch-Pfanne (vegetarisch),"Schnelles Indisch-Rezept, abgestimmt auf One-Pot.",One-Pot,Indisch,vegetarisch,leicht,2,10,22,32,515,16,60,26,sellerie,"eintopf, low_carb, mealprep, nudeln, pikant, reis",4.6,Team Küche,"[""1 x Karotte"", ""3 x Sojasauce"", ""1 x Knoblauchzehe"", ""2 x Zitrone"", ""2 x Paprika""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,59-schnelle-indisch-pfanne-(vegetarisch)
60,Mediterrane Bowl für Sportler (glutenfrei),"Schnelles Mediterran-Rezept, abgestimmt auf Sportler.",Sportler,Mediterran,glutenfrei,leicht,2,9,21,30,692,45,53,17,"fisch, weichtiere","faserreich, high_protein, pikant, reis, schnell, unter_30_min",4.2,Chefkoch Lina,"[""2 x Kidneybohnen"", ""1 x Currypaste"", ""2 x Basilikum"", ""2 x Knoblauchzehe"", ""1 x Zitrone"", ""3 x Quinoa"", ""2 x Haferflocken"", ""1 x Reis""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,60-mediterrane-bowl-für-sportler-(glutenfrei)
61,Proteinreicher Asiatisch-Mix (vegan),"Schnelles Asiatisch-Rezept, abgestimmt auf Sportler.",Sportler,Asiatisch,vegan,leicht,4,6,22,28,742,39,61,23,gluten,"familienfreundlich, high_protein, ofen, saisonal, salat, suppe, unter_30_min",4.7,Chefkoch Max,"[""3 x Paprika"", ""3 x Reis"", ""3 x Olivenöl"", ""1 x Haferflocken"", ""2 x Vollkornpasta"", ""1 x Brühe"", ""2 x Knoblauchzehe"", ""2 x Karotte"", ""1 x Tofu""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,61-proteinreicher-asiatisch-mix-(vegan)
62,Proteinreicher Italienisch-Mix (vegetarisch),"Schnelles Italienisch-Rezept, abgestimmt auf Sportler.",Sportler,Italienisch,vegetarisch,leicht,3,12,27,39,633,34,73,16,sellerie,"high_protein, mild, nudeln, pfanne, pikant, schnell",4.4,Chefkoch Lina,"[""2 x Spinat"", ""1 x Kokosmilch"", ""1 x Quinoa"", ""2 x Zitrone"", ""1 x Knoblauchzehe"", ""2 x Pasta"", ""3 x Currypaste"", ""1 x Koriander"", ""2 x Joghurt"", ""3 x Tofu""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,62-proteinreicher-italienisch-mix-(vegetarisch)
63,Proteinreicher Amerikanisch-Mix (vegan),"Schnelles Amerikanisch-Rezept, abgestimmt auf Anfänger.",Anfänger,Amerikanisch,vegan,leicht,2,19,10,29,486,16,57,15,"gluten, weichtiere","saisonal, unter_15_min, unter_30_min",4.5,Chefkoch Max,"[""2 x Tofu"", ""3 x Zwiebel"", ""2 x Spinat"", ""1 x Kartoffeln"", ""1 x Zucchini"", ""3 x Kidneybohnen"", ""3 x Knoblauchzehe""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,63-proteinreicher-amerikanisch-mix-(vegan)
64,Meal‑Prep Deutsch (omnivor) für 3 Tage,"Schnelles Deutsch-Rezept, abgestimmt auf Budget.",Budget,Deutsch,omnivor,leicht,4,13,22,35,561,34,43,15,,"familienfreundlich, faserreich, proteinreich, reis",4.0,Team Küche,"[""3 x Kartoffeln"", ""3 x Joghurt"", ""1 x Reis"", ""1 x Rapsöl"", ""2 x Mais"", ""2 x Karotte"", ""2 x Kidneybohnen"", ""3 x Brühe"", ""2 x Zucchini"", ""1 x Pasta"", ""3 x Rinderhack""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,64-meal‑prep-deutsch-(omnivor)-für-3-tage
65,Schnelle Asiatisch-Pfanne (pescetarisch),"Schnelles Asiatisch-Rezept, abgestimmt auf Studierende.",Studierende,Asiatisch,pescetarisch,anspruchsvoll,2,12,18,30,640,21,46,33,"erdnüsse, laktose, sellerie","high_protein, low_carb, mild, saisonal, unter_30_min",4.1,Chefkoch Lina,"[""3 x Spinat"", ""3 x Tofu"", ""2 x Rapsöl"", ""2 x Brühe"", ""3 x Karotte"", ""1 x Koriander"", ""3 x Gurke"", ""3 x Lachsfilet""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,65-schnelle-asiatisch-pfanne-(pescetarisch)
66,Indische Bowl für Berufstätige (glutenfrei),"Schnelles Indisch-Rezept, abgestimmt auf Berufstätige.",Berufstätige,Indisch,glutenfrei,leicht,4,8,18,26,466,22,49,12,"eier, fisch","mealprep, mild, nudeln, suppe, unter_30_min",4.0,Gastautor,"[""3 x Currypaste"", ""2 x Kidneybohnen"", ""2 x Olivenöl"", ""2 x Karotte"", ""1 x Basilikum"", ""1 x Tofu"", ""1 x Rapsöl"", ""2 x Rinderhack"", ""2 x Joghurt"", ""2 x Reis""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,66-indische-bowl-für-berufstätige-(glutenfrei)
67,Schnelle Asiatisch-Pfanne (omnivor),"Schnelles Asiatisch-Rezept, abgestimmt auf Senioren.",Senioren,Asiatisch,omnivor,leicht,3,10,18,28,711,35,53,32,"gluten, laktose, senf","eintopf, ofen, unter_15_min, unter_30_min",4.3,Team Küche,"[""1 x Aubergine"", ""2 x Kichererbsen"", ""2 x Olivenöl"", ""2 x Gurke"", ""2 x Tomate"", ""2 x Lachsfilet"", ""1 x Tofu""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,67-schnelle-asiatisch-pfanne-(omnivor)
68,Proteinreicher Mediterran-Mix (vegan),"Schnelles Mediterran-Rezept, abgestimmt auf Anfänger.",Anfänger,Mediterran,vegan,mittel,4,11,19,30,295,21,41,14,erdnüsse,"high_protein, low_carb, nudeln, ofen, salat, suppe, unter_30_min",4.6,Chefkoch Lina,"[""3 x Vollkornpasta"", ""1 x Quinoa"", ""2 x Mais"", ""2 x Aubergine"", ""2 x Kichererbsen"", ""2 x Gurke"", ""2 x Basilikum"", ""1 x Brühe"", ""3 x Tofu""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,68-proteinreicher-mediterran-mix-(vegan)
69,Meal‑Prep Asiatisch (glutenfrei) für 3 Tage,"Schnelles Asiatisch-Rezept, abgestimmt auf Sportler.",Sportler,Asiatisch,glutenfrei,leicht,3,5,28,33,618,36,64,16,,"faserreich, high_protein, low_carb, nudeln, ofen, pikant, schnell",4.7,Community,"[""3 x Tomate"", ""3 x Tomatenmark"", ""3 x Petersilie"", ""3 x Mais"", ""1 x Reis"", ""1 x Kartoffeln"", ""1 x Joghurt"", ""3 x Spinat"", ""3 x Koriander""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,69-meal‑prep-asiatisch-(glutenfrei)-für-3-tage
70,One‑Pot Deutsch Comfort Food (vegetarisch),"Schnelles Deutsch-Rezept, abgestimmt auf Anfänger.",Anfänger,Deutsch,vegetarisch,mittel,4,17,29,46,413,15,56,23,"gluten, laktose, senf, weichtiere","eintopf, high_protein, pfanne, suppe",4.1,Chefkoch Lina,"[""1 x Tofu"", ""3 x Joghurt"", ""2 x Knoblauchzehe"", ""2 x Aubergine"", ""2 x Paprika"", ""1 x Zitrone"", ""2 x Spinat"", ""3 x Karotte"", ""3 x Brühe"", ""2 x Kokosmilch"", ""2 x Tomate""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,70-one‑pot-deutsch-comfort-food-(vegetarisch)
71,Schnelle Deutsch-Pfanne (vegan),"Schnelles Deutsch-Rezept, abgestimmt auf Berufstätige.",Berufstätige,Deutsch,vegan,mittel,3,5,15,20,421,35,41,15,nüsse,"eintopf, mealprep, ofen, pikant, saisonal, suppe, unter_30_min",4.1,Team Küche,"[""3 x Mais"", ""1 x Tomatenmark"", ""3 x Currypaste"", ""1 x Zitrone"", ""2 x Zwiebel"", ""2 x Tofu""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,71-schnelle-deutsch-pfanne-(vegan)
72,Herzhafter Italienisch-Eintopf (keto),"Schnelles Italienisch-Rezept, abgestimmt auf Sportler.",Sportler,Italienisch,keto,leicht,2,20,21,41,957,42,18,59,"gluten, laktose, sellerie","faserreich, high_protein, low_carb, ofen, saisonal, schnell",4.4,Chefkoch Lina,"[""1 x Kidneybohnen"", ""2 x Kokosmilch"", ""3 x Tofu"", ""3 x Spinat"", ""3 x Olivenöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,72-herzhafter-italienisch-eintopf-(keto)
73,Proteinreicher Asiatisch-Mix (glutenfrei),"Schnelles Asiatisch-Rezept, abgestimmt auf Familien.",Familien,Asiatisch,glutenfrei,leicht,3,14,9,23,546,26,46,20,"gluten, laktose","eintopf, familienfreundlich, faserreich, low_carb, nudeln, ofen, unter_30_min",4.7,Chefkoch Max,"[""3 x Kichererbsen"", ""2 x Gurke"", ""3 x Knoblauchzehe"", ""3 x Rapsöl"", ""1 x Olivenöl"", ""3 x Rinderhack"", ""1 x Tofu"", ""2 x Basilikum"", ""3 x Lachsfilet"", ""2 x Tomatenmark""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,73-proteinreicher-asiatisch-mix-(glutenfrei)
74,Meal‑Prep Amerikanisch (omnivor) für 3 Tage,"Schnelles Amerikanisch-Rezept, abgestimmt auf One-Pot.",One-Pot,Amerikanisch,omnivor,mittel,4,11,18,29,621,38,31,38,"gluten, soja","pikant, proteinreich, reis, saisonal, suppe, unter_30_min",4.2,Community,"[""3 x Currypaste"", ""3 x Kichererbsen"", ""1 x Lachsfilet"", ""2 x Rapsöl"", ""3 x Hähnchenbrust"", ""2 x Sojasauce"", ""2 x Brühe"", ""3 x Petersilie"", ""2 x Knoblauchzehe""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,74-meal‑prep-amerikanisch-(omnivor)-für-3-tage
75,Cremiges Italienisch-Curry (pescetarisch),"Schnelles Italienisch-Rezept, abgestimmt auf One-Pot.",One-Pot,Italienisch,pescetarisch,leicht,1,18,6,24,690,22,42,35,"fisch, laktose, sesam","familienfreundlich, faserreich, mild, nudeln, pikant, salat, unter_30_min",4.6,Chefkoch Lina,"[""3 x Koriander"", ""3 x Reis"", ""3 x Kokosmilch"", ""2 x Zucchini"", ""1 x Aubergine"", ""3 x Kichererbsen"", ""2 x Pasta"", ""1 x Zwiebel"", ""2 x Olivenöl"", ""1 x Basilikum"", ""2 x Lachsfilet""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,75-cremiges-italienisch-curry-(pescetarisch)
76,Ofenrezept: Mexikanische Blechvariante (vegan),"Schnelles Mexikanisch-Rezept, abgestimmt auf Senioren.",Senioren,Mexikanisch,vegan,leicht,3,9,23,32,508,33,66,20,"gluten, sellerie","low_carb, mealprep, suppe",4.2,Team Küche,"[""2 x Vollkornpasta"", ""3 x Kichererbsen"", ""3 x Currypaste"", ""1 x Brühe"", ""1 x Tomatenmark"", ""2 x Zitrone"", ""3 x Karotte"", ""2 x Tofu""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,76-ofenrezept:-mexikanische-blechvariante-(vegan)
77,Schnelle Italienisch-Pfanne (keto),"Schnelles Italienisch-Rezept, abgestimmt auf Sportler.",Sportler,Italienisch,keto,mittel,3,5,11,16,787,34,23,42,gluten,"high_protein, low_carb, ofen, proteinreich, salat, unter_30_min",4.2,Community,"[""1 x Zucchini"", ""2 x Olivenöl"", ""1 x Gurke"", ""3 x Kokosmilch"", ""3 x Rapsöl"", ""1 x Paprika"", ""1 x Tomatenmark""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,77-schnelle-italienisch-pfanne-(keto)
78,One‑Pot Deutsch Comfort Food (glutenfrei),"Schnelles Deutsch-Rezept, abgestimmt auf One-Pot.",One-Pot,Deutsch,glutenfrei,mittel,3,10,19,29,458,32,57,16,"sellerie, weichtiere","faserreich, low_carb, proteinreich, saisonal, unter_30_min",4.5,Chefkoch Max,"[""2 x Currypaste"", ""3 x Quinoa"", ""1 x Lachsfilet"", ""3 x Rinderhack"", ""2 x Basilikum"", ""1 x Koriander"", ""3 x Karotte"", ""3 x Petersilie"", ""3 x Reis""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,78-one‑pot-deutsch-comfort-food-(glutenfrei)
